Gibraltar;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Greece;ABBYY Europe GmbH;Tel.: +49 6950071892;Fax: +49 6950071894;
Greenland;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Guatemala;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Guinea;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Guinea-Bissau;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Guyana;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Haiti;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Honduras;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Hong Kong;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Hungary;LICENCIA Kereskedelmi Kft;Tel: +361 3171055;Fax: +361 3172834;
Iceland;ABBYY Europe GmbH;Tel.: +49 6950071896;Fax: +49 6950071895;
India;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Indonesia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Iran;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Iraq;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Ireland;ABBYY Europe GmbH;Tel.: 1890946794;Fax: 1890946795;
Israel;Software Sources;Tel: +972 9 7714578;Fax: +972 9 7712194;
Italy;ABBYY Europe GmbH;Tel.: 848782402;Fax: 848782403;
Jamaica;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Japan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Jersey;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Jordan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Kazakhstan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Kenya;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Kiribati;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Korea, North;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Korea, South;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Kuwait;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Kyrgyzstan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Laos;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Latvia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;Phone activation is only available between 9am and 6pm local time.
Lebanon;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Lesotho;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Liberia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Libya;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Liechtenstein;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Lithuania;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Luxembourg;ABBYY Europe GmbH;Tel.: 3420808272;Fax: 3420808273;
Macau;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Macedonia;Neocom;Tel.: + 389 2 2402142;Fax: + 389 2 2465236;
Madagascar;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Malawi;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Malaysia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Maldives;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Mali;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Malta;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Marshall Islands;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Martinique;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Mauritani;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Mauritius;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Mayotte;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Mexico;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Moldova;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Monaco;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Mongolia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Montserrat;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Morocco;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Mozambique;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Namibia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Nauru;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Nepal;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Netherlands;ABBYY Europe GmbH;Tel.: 09000400240;Fax: 09000400241;
Netherlands Antilles;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
New Caledonia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
New Zealand;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Nicaragua;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Niger;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Nigeria;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Norfolk Island;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Northern Mariana Islands;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Norway;ABBYY Europe GmbH;Tel.: 81003605;Fax: 81003604;
Oman;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Pakistan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Palau;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Panama;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Papua New Guinea;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Paraguay;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Peru;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Philippines;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Poland;AutoID;Tel.: +48 12 2925100;Fax: +48 12 6560443;
Portugal;ABBYY Europe GmbH;Tel.: 808202369;Fax: 808202370;
Puerto Rico;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Qatar;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Reunion;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Romania;Star Group;Tel.: +40 21 2421233;Fax +40 21 2421233
Russia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663
Rwanda;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663
